DiseaseId,Disease_name
EFO_1000984,Inflammatory Breast Carcinoma
EFO_0003913,Angina Pectoris
MONDO_0020654,Renal Pelvis/Ureter Urothelial Carcinoma
EFO_0000569,Liposarcoma
EFO_1002048,Kidney Failure
EFO_0000178,Gastric Carcinoma
EFO_0002501,Anaplastic Oligodendroglioma
EFO_0009267,Delirium
EFO_1000652,Acute Pancreatitis
HP_0002013,Vomiting
EFO_0002938,Hypopharyngeal Carcinoma
EFO_0003898,Ankylosing Spondylitis
MONDO_0019037,Progressive Supranuclear Palsy
EFO_0000211,Unspecified Peripheral T-Cell Lymphoma
EFO_0004329,Alcohol Drinking
EFO_0003756,Autism Spectrum Disorder
EFO_1000218,Digestive System Carcinoma
EFO_0003758,Autism
MONDO_0004192,Urethra Cancer
EFO_0004698,Insomnia
MONDO_0003060,Biliary Tract Cancer
EFO_0005922,Esophageal Squamous Cell Carcinoma
EFO_0005774,Brain Disease
EFO_0002918,Rhabdomyosarcoma
HP_0000989,Pruritus
EFO_0000717,Systemic Scleroderma
EFO_0002687,Ischemia Reperfusion Injury
EFO_0003914,Atherosclerosis
EFO_0009878,Drug Interaction
EFO_0005252,Orthostatic Hypotension
EFO_0004319,Smoking Cessation
EFO_0005761,Lupus Nephritis
EFO_0000699,Sjogren Syndrome
EFO_0003047,Hepatitis C Virus Infection
MONDO_0003541,Adult Acute Lymphoblastic Leukemia
EFO_0001061,Cervical Carcinoma
EFO_0003917,Premature Birth
HP_0012076,Borderline Personality Disorder
EFO_0002916,Esophageal Carcinoma
HP_0003418,Back Pain
EFO_0003106,Pneumonia
EFO_0004270,Restless Legs Syndrome
MONDO_0018364,Malignant Epithelial Tumor Of Ovary
EFO_0003891,Biliary Tract Neoplasm
EFO_0001072,Memory Impairment
EFO_0004895,Tourette Syndrome
EFO_0009492,Cardiac Arrest
EFO_0004289,Lymphoid Leukemia
EFO_0000224,Acute Promyelocytic Leukemia
MONDO_0003219,Gastroesophageal Junction Adenocarcinoma
EFO_0005203,Eating Disorder
EFO_0001068,Malaria
EFO_0003897,Stomach Neoplasm
HP_0012735,Cough
MONDO_0010383,Fragile X Syndrome
MONDO_0000870,Childhood Acute Lymphoblastic Leukemia
MONDO_0009061,Cystic Fibrosis
EFO_1001917,Social Anxiety Disorder
EFO_0006911,Chemotherapy-Induced Nausea And Vomiting
EFO_0000174,Ewing Sarcoma
EFO_0004251,Myeloproliferative Disorder
EFO_0007160,Autoimmune Thrombocytopenic Purpura
MONDO_0000831,Thrombotic Disease
EFO_0003931,Bone Fracture
MONDO_0002491,Substance Abuse
EFO_0000677,Mental Or Behavioural Disorder
MONDO_0002046,Alcohol Abuse
EFO_1000576,Thymic Carcinoma
EFO_0004269,Cardiac Arrhythmia
EFO_0000294,Bladder Tumor
HP_0001919,Acute Kidney Injury
MONDO_0005351,Anorexia Nervosa
EFO_1001486,Primary Biliary Cirrhosis
EFO_0000668,Preeclampsia
EFO_0000479,Essential Thrombocythemia
EFO_0007328,Influenza
EFO_0003863,Urogenital Neoplasm
EFO_0002913,Cutaneous T-Cell Lymphoma
EFO_0000514,Germ Cell Tumor
EFO_0008585,St Elevation Myocardial Infarction
EFO_0001071,Lung Carcinoma
EFO_0003108,Essential Tremor
EFO_0004198,Skin Neoplasm
EFO_0003840,Chronic Progressive Multiple Sclerosis
MONDO_0100431,Migraine Without Aura
EFO_0000770,Malignant Pleural Mesothelioma
EFO_0004714,Sexual Dysfunction
EFO_1000632,Cerebral Palsy
EFO_0011061,Toxicity
HP_0100806,Sepsis
EFO_0000309,Burkitts Lymphoma
EFO_1000359,Malignant Pancreatic Neoplasm
EFO_1001949,Colon Adenocarcinoma
HP_0002018,Nausea
EFO_0008507,Interstitial Cystitis
HP_0100607,Dysmenorrhea
MONDO_0001657,Brain Cancer
HP_0000713,Agitation
EFO_1000637,Acute Respiratory Distress Syndrome
EFO_0000209,T-Cell Acute Lymphoblastic Leukemia
HP_0011868,Sciatica
EFO_0005306,Ventricular Tachycardia
MONDO_0004567,Ileus
EFO_0009606,Macular Degeneration
EFO_1000710,Hidradenitis Suppurativa
EFO_0004253,Nephrolithiasis
EFO_1000948,Gastroparesis
EFO_0009321,Diabetic Macular Edema
EFO_0007486,Sinusitis
MONDO_0005575,Colorectal Cancer
EFO_0007532,Uterine Corpus Cancer
EFO_0005323,Post-Operative Sign Or Symptom
EFO_0007444,Plasmodium Falciparum Malaria
EFO_0009516,Burn
EFO_0008568,Sleep Disorder
EFO_0004243,Carcinoid Tumor
EFO_0000221,Acute Monocytic Leukemia
EFO_0005407,Psychosis
EFO_0004599,Acute Graft Vs. Host Disease
EFO_0005207,Congenital Heart Disease
HP_0030833,Neck Pain
EFO_0005854,Allergic Rhinitis
EFO_1001961,Intrahepatic Cholangiocarcinoma
MONDO_0009348,Classic Hodgkin Lymphoma
MONDO_0010726,Rett Syndrome
EFO_0003095,Non-Alcoholic Fatty Liver Disease
EFO_0009963,Bipolar I Disorder
EFO_0010072,Toothache
EFO_0007214,Common Cold
EFO_0003770,Diabetic Retinopathy
